Dataset name,Dataset description,Granularity,Source,Purpose of the data ,Data controller,DPIA inclusion,Data Processor Organisations,Collecting and Sharing Governance
Splunk 111 - Vodafone,Raw 111 call data (1 day lag). Not linkable to other record level sources. By area code.,Record level,NHS Digital,,NHS England,,"Arden & GEM (NHSE), Palantir",Existing Governance
Shielded Patient List,,,,,,,,
PHE negative test results,Negative test results from PHE SGSS (Second Generation Surveillance System). Anonymised,Record level,Public Health England,,Public Health England,,"Arden & GEM (NHSE), Palantir",
COVID Critical Care data,From DOS (Directory of Services). More detail provided in the adult critical care bed state definitions document,,,,,,,
Testing PPE inventory,"Testing PPE inventory, burn rates, and demand forecasts, sourced from Shirley Zhang (Deloitte).

The data included is: the inventory of PPE stock in each testing location, it showed the burn rate of PPE at each location, forecast demand, opening and closing stock projections for each day. This was then pulled into dashboards.",Aggregate,Deloitte,,,,,
Historical testing sites SITREPs,"This data includes historical sitrep response data from testing sites - their PPE inventory, testing kit inventory, and personnel. We need this to form a complete picture of testing site demand. 

Inventory of testing items, number of personnel on site, PPE and consumable inventory.
",Aggregate,,,,,,
Testing Site Predicted Capacity,"Testing site Predicted Capability from James.kelly@deloitte.co.uk 

We are working towards a V0 for Alex Cooper and No.10 by Saturday afternoon.

Data to be included:

cols: site name, date 1, date 2, date 3, date 4
rows: sitex, capacity at date1, capacity at date 2, capacity at date 3 etc.
",Aggregate,,,,,,
Testing Site Predicted Demand,"Testing site Demand from kat.benjamin@deloitte.co.uk 

This is for development and creation for Saturday afternoon for Alex Cooper at No. 10.
Data to be included:

cols: site name, date 1, date 2, date 3, date 4
rows: sitex, demand at date1, demand at date 2, demand at date 3 etc.
",Aggregate,,,,,,
NPEX testing,,,,,,,,
COVID ISP SITREP,Replicated the COVID SITREP but for independent service providers,Aggregate,SDCS - NHSD,,NHS Improvement,,"Arden & GEM (NHSE), Palantir, NHS Improvement",
NHS Region Code Mappings,,N/A,,,,,,
"Workforce - Social Care, The Adult Social Care Workforce Data Set",,Aggregate,,,,,,
Supply Chain - China Freight,,,,,,,,
Scotland Cases/ Tests,,,,,,,,
ESR Data for sickness model,,,,,,,,
Covid-19 Hospitalisation in England Surveillance System (CHESS) - aggregate,1-Time load only. CHESS. Demographics. 25 pages of information. It's a legal obligation that the patient has to complete this.,Aggregate,Public Health England,,PHE,,"Arden & GEM (NHSE), Palantir",
COVID related death information - aggregate,Death notifications: COVIDrelateddeaths container. Formed of live deaths dashboard and daily deaths extract going into dashboard,Aggregate,AGEM,,,,,
SUS+ critical care,Part of the SUS data - shows patients in CC,,NHS Digital,,,,,
Temp Workers - Agency Collection Bank Over Threshold,Agency information from NHS Trusts,Aggregate,NHSI,,NHS Improvement,,"Arden & GEM (NHSE), Palantir, NHS Improvement",
Temp Workers -Agency Collection Highest Paid Workers,Agency information from NHS Trusts,Aggregate,NHSI,,NHS Improvement,,"Arden & GEM (NHSE), Palantir, NHS Improvement",
Temp Workers - Agency Spend Bank Usage Weekly,Agency information from NHS Trusts,Aggregate,NHSI,,NHS Improvement,,"Arden & GEM (NHSE), Palantir, NHS Improvement",
Temp Workers - Agency Spend Override Weekly,Agency information from NHS Trusts,Aggregate,NHSI,,NHS Improvement,,"Arden & GEM (NHSE), Palantir, NHS Improvement",
Temp Workers - Temp Staffing Activity Finance,Agency information from NHS Trusts,Aggregate,NHSI,,NHS Improvement,,"Arden & GEM (NHSE), Palantir, NHS Improvement",
Staff sickness (allocate),"Taken from allocate system which is used for rotas in ~90% of trusts. Should cover all people who do shift work accurately, but may be lacking for office workers",Record level,,,,,,
111 Real-time,"15 mins feed to fetch the CallAE, CallAmb, CallTriage and CallPC",Aggregate,NHSD,,NHS Improvement,,"Arden & GEM (NHSE), Palantir, NHS Improvement",
UKHD,"Contains all reference data to be able to understand the other DS. Includes codes as well as other reference material such as demographics, population etc.",N/A,,,,,,
Status Checker (aka Research Survey),Self reported status of one's wellbeing and symptoms and location.,Aggregate,NHS Digital,Understand trend and volumen of symptom reporting. ,NHSD,TBD,"Arden & GEM (NHSE), Palantir",TBD
Gov.uk - Covid-19 Page Statistics,Testing usefulness of page visits related to Covid-19,Aggregate,Gov.uk,Understand general ,gov.uk,TBD,"Arden & GEM (NHSE), Palantir",TBD
111 SMS,,,,,,,,
Intermediate SUS tables AE,Processed table created for inernal analysis purposes. ,Record level,NHSE/I ,AE activity levels to understand impact on Covid19 response. ,NHSEI,TBD,TBD,TBD
Vulnerable persons,Shielded Patient List. Circa 1.5 million vulnerable people,Record level,AGEM,,NHSD,,"Arden & GEM (NHSE), Palantir",
MONTHLY 111,I'm wondering whether this is the equivalnet of the Record level 111 data from NCDR. That is produced monthly.,,AGEM,,,,,
MH and LD sitrep,,,,,,,,
NHS 111 MDS daily from DB,,Aggregate,NHS Digital,Understand 111 activity volumes and patternes to understand impact on Covid19 response. ,NHSD,TBD,TBD,TBD
